"height","backscatter"
5,NA
10,NA
15,NA
20,NA
25,30.9709256565657
30,30.0101718518517
35,29.8324713804716
40,29.9302472727272
45,29.9284354208754
50,29.7764650505051
55,29.6190048484849
60,29.5105372390572
65,29.4196448484848
70,29.6480119865319
75,29.6787372390573
80,29.6770043097643
85,29.6235823569024
90,29.5438538720538
95,29.5820356902356
100,29.6978428282829
105,29.779082962963
110,29.7823971717171
115,29.7521595959597
120,29.668418855219
125,29.5445267340067
130,29.3896226262626
135,29.2258360942761
140,29.0733377777778
145,28.9390592592593
150,28.8137684848484
155,28.7011797979798
160,28.5702913131313
165,28.4409358922559
170,28.3157583838384
175,28.2024114478115
180,28.0500467340067
185,27.8564954882154
190,27.5944284175084
195,27.2760486195287
200,26.8933379124579
205,26.4791217508418
210,26.0358257239055
215,25.5661163636364
220,25.0534824242423
225,24.4963694276094
230,23.9124122558924
235,23.3435498989898
240,22.7528196632996
245,22.211533063973
250,21.7227680808081
255,21.3033402020202
260,20.9611762962963
265,20.7241195959596
270,20.6050006734006
275,20.5953228282827
280,20.6956340740743
285,20.8782747474746
290,21.1146797306398
295,21.3889107070706
300,21.6545811447813
305,21.9394045791249
310,22.2174624915827
315,22.5218474074075
320,22.7690041750842
325,23.0626591245792
330,23.3420637037037
335,23.6078266666668
340,23.8496824242423
345,24.0887814141414
350,24.1806770370371
355,24.2080237037037
360,24.1461368350168
365,23.9506119865321
370,23.6307816835018
375,23.1394984511785
380,22.5414898316499
385,21.8658319191918
390,21.0539742760943
395,20.148574006734
400,19.2607501683501
405,18.3733544781145
410,17.4294026936026
415,16.5627352188553
420,15.7284262626263
425,15.016575084175
430,14.2632747474747
435,13.6040047138049
440,13.1086944107743
445,12.7549391245791
450,12.5363672727272
455,12.5164844444445
460,12.6759249831648
465,13.0224482154882
470,13.5428515824916
475,14.2073142087543
480,15.0551224242424
485,15.9789713131314
490,16.8735604040404
495,17.7812983164983
500,18.5901485521886
505,19.2748272053871
510,19.7731707744109
515,20.0461691582491
520,20.2503947474748
525,20.3484871380472
530,20.2504917171718
535,20.054537912458
540,19.8985121885522
545,19.7035446464645
550,19.4630971043772
555,19.0400106397306
560,18.4822187205388
565,17.8307330639733
570,16.8992114478115
575,15.8553072053872
580,14.6838696296297
585,13.4711034343434
590,12.1755717171718
595,10.9464526599327
600,9.79205723905731
605,8.96173050505057
610,8.24337656565657
615,7.8536845791247
620,7.63608861952848
625,7.61241400673401
630,7.67991811447819
635,8.23905548821538
640,8.41975528619541
645,8.78054451178457
650,9.58029683501686
655,10.1173348148148
660,11.0744005387205
665,11.712191919192
670,12.6571651178452
675,13.3511656565658
680,14.4261981144782
685,14.9245352188554
690,16.0224944107745
695,16.6635235016834
700,17.0341377777778
705,17.2837635016834
710,17.3812593939393
715,17.4009528619529
720,17.3201319865321
725,17.1731388552188
730,16.9314414814813
735,16.5946106397305
740,16.168083097643
745,15.6566088888888
750,15.0997112457911
755,14.4404577777777
760,13.697542087542
765,12.8238237037036
770,11.9258154882154
775,10.9342191245791
780,9.96869885521887
785,9.00812525252512
790,8.200336161616
795,7.48347380471392
800,6.95860888888896
805,6.61475218855214
810,6.50764632996618
815,6.59913602693609
820,6.85505939393933
825,7.24094801346799
830,7.6951709090907
835,8.20648404040404
840,8.77068646464636
845,9.40929037037058
850,10.112649292929
855,10.8225620202023
860,11.5468176430976
865,12.2009640404042
870,12.8380548148149
875,13.4395523232323
880,14.0288249158249
885,14.5197117845119
890,14.920472053872
895,15.1563595959597
900,15.2338118518518
905,15.1229458585857
910,14.8564390572389
915,14.4805664646465
920,13.9886826936027
925,13.3552293602694
930,12.6832471380472
935,11.913636094276
940,11.1167726599327
945,10.2170352861952
950,9.35223259259259
955,8.56811286195287
960,7.86949441077442
965,7.26494222222243
970,6.80495151515164
975,6.46143286195288
980,6.22333643097653
985,6.14552659932663
990,6.19791164983163
995,6.36971878787867
1000,6.65421185185193
1005,6.97268915824886
1010,7.3901742760943
1015,7.89650141414139
1020,8.43355218855214
1025,9.02038074074065
1030,9.68671865319856
1035,9.88960875420877
1040,10.6258892929291
1045,11.3170533333333
1050,11.7319892255892
1055,12.4953665993266
1060,12.9410546801349
1065,12.4694193939392
1070,11.9714012121213
1075,11.5893555555555
1080,11.3465952861952
1085,11.8580841750843
1090,12.0019226936028
1095,11.8718816161615
1100,11.6224804040404
1105,10.5977175757576
1110,9.670142087542
1115,9.51613737373754
1120,9.64789831649838
1125,9.66111878787853
1130,9.45999838383817
1135,8.83887407407411
1140,7.87246585858597
1145,6.98233387205372
1150,6.38258760942764
1155,5.95934060606061
1160,5.79681966329957
1165,5.73201858585857
1170,5.48662814814816
1175,5.2059647138047
1180,5.06187878787866
1185,4.85022612794591
1190,4.80729858585861
1195,4.90944686868674
1200,5.1552826936026
1205,5.70960121212136
1210,6.37235138047143
1215,6.98953252525266
1220,7.61198087542094
1225,8.22614949494943
