Station Date(NZST) Height(m) Pressure(hPa) Tair(C) Tdew(C) Dir(degT) Speed(m/s) StdFlag RsdFlag WndFlag IceFlag TurFlag Orig 
1410 20111001:0000 18626 69.2 - - 245 5.1 N - 1 - H U 
1410 20111001:0000 19226 63.0 - - 75 1.0 N - 1 - H U 
1410 20111001:0000 19826 57.4 - - 140 5.1 N - 1 - H U 
1410 20111001:0000 20126 54.7 - - 90 6.7 N - 1 - H U 
1410 20111001:0000 20706 50.0 -52.9 -85.9 60 7.2 Y 0 0 0 P U 
1410 20111001:0000 20726 49.8 - - 55 5.7 N - 1 - H U 
1410 20111001:0000 20836 49.0 -52.7 -85.7 - - N 1 - - - U 
1410 20111001:0000 21384 45.0 -54.7 -86.7 - - N 1 - - - U 
1410 20111001:0000 21626 43.4 - - 130 5.1 N - 1 - H U 
1410 20111001:0000 21926 41.4 - - 130 7.7 N - 1 - H U 
1410 20111001:0000 22226 39.5 - - 115 9.3 N - 1 - H U 
1410 20111001:0000 22826 36.0 - - 90 7.2 N - 1 - H U 
1410 20111001:0000 23126 34.4 - - 105 4.6 N - 1 - H U 
1410 20111001:0000 23426 32.8 - - 130 8.8 N - 1 - H U 
1410 20111001:0000 24013 30.0 -49.1 -83.1 120 7.7 Y 1 0 0 P U 
1410 20111001:0000 25203 25.0 -51.7 -84.7 - - N 1 - - - U 
1410 20111001:0000 26658 20.0 -49.5 -83.5 105 14.9 Y 0 0 0 P U 
1410 20111001:0000 27349 18.0 -49.1 -83.1 - - N 1 - - - U 
1410 20111002:0000 26 1017.0 14.2 13.0 50 5.7 Y 4 4 - H U 
1410 20111002:0000 168 1000.0 13.0 12.3 - - Y 0 - 2 - U 
1410 20111002:0000 326 981.0 - - 45 12.4 N - 1 - H U 
1410 20111002:0000 626 947.0 - - 30 17.5 N - 1 - H U 
1410 20111002:0000 820 925.0 8.8 8.8 - - Y 0 - 0 - U 
1410 20111002:0000 926 913.0 - - 30 16.0 N - 1 - H U 
1410 20111002:0000 1459 856.0 5.4 5.3 - - N 1 - - - U 
1410 20111002:0000 1517 850.0 5.6 5.0 20 13.9 Y 0 0 0 P U 
1410 20111002:0000 1526 849.0 - - 20 12.4 N - 1 - H U 
1410 20111002:0000 1663 835.0 6.0 3.6 - - N 1 - - - U 
1410 20111002:0000 2126 788.0 - - 350 9.8 N - 1 - H U 
1410 20111002:0000 2726 732.0 - - 330 8.8 N - 1 - H U 
1410 20111002:0000 3039 704.0 -3.5 -4.8 - - N 1 - - - U 
1410 20111002:0000 3084 700.0 -3.3 -6.3 350 8.8 Y 0 0 0 P U 
