date,percentile.no2,percentile.pm10,percentile.pm2.5,X,BH.photo,BH.met,ceilmoter.signal,ceilometer.signal.giulio,kidson.type,wd,ws,t,blh.12,percent.point,pm10.pn,pm2.5.pn,no2.pn,no2.qs,nox.qs,sp,dry,bh.1,hinv,oinv,year,kidson.group
13/08/14,<75th,<75th,<75th,228,0,NOBH,NA,,H,WSW,9,13,250,31,16,4,20,57.9,163.6,UP,,NOBH,,,2014,zonal
14/08/14,<75th,<75th,<75th,229,0,NOBH,NA,,NA,WSW,12,11,1050,34,18,6,22,49.6,137.2,UP,,NOBH,,,2014,NA
16/08/14,>90th,>95th,>75th,231,NA,NOBH,NA,,W,SW,6.8,14.4,800,30,29,9,28,43.4,98.3,SP2,,NOBH,,,2014,zonal
17/08/14,<75th,>75th,<75th,232,NA,NOBH,NA,,SW,SW,2.6,15.4,800,22,20,8,20,35.2,69.3,UP,DRY,NOBH,,X,2014,through
19/08/14,<75th,<75th,<75th,234,0,NOBH,NA,,H,NE,7,14.3,850,36,14,5,12,NA,NA,UP,,NOBH,,,2014,zonal
20/08/14,<75th,<75th,<75th,235,0,NOBH,NA,,SW,NNE,4.1,15.5,250,25,14,5,14,NA,NA,UP,,NOBH,,,2014,through
21/08/14,<75th,<75th,<75th,236,0,NOBH,NA,,W,SSW,8.5,14.9,500,23,17,7,20,NA,NA,UP,,NOBH,,,2014,zonal
22/08/14,<75th,<75th,<75th,237,0,NOBH,NA,,HNW,S,3.1,11.4,550,24,17,7,17,43.9,86.8,SP2,DRY,NOBH,,,2014,zonal
25/08/14,<75th,<75th,<75th,240,0,NOBH,NA,,HNW,WSW,1.6,14,200,44,17,8,14,40.5,99.5,SP2,DRY,NOBH,,,2014,zonal
26/08/14,<75th,<75th,<75th,241,NA,NOBH,NA,,W,NNE,3.4,14.8,750,75,10,6,10,32.7,49.2,UP,DRY,NOBH,,,2014,zonal
27/08/14,<75th,<75th,<75th,242,0,NOBH,NA,,SW,NE,5.3,13.6,1100,48,17,7,12,20.1,32.1,UP,,NOBH,,,2014,through
28/08/14,<75th,<75th,<75th,243,NA,NOBH,NA,,HNW,ENE,6.3,15.2,1400,29,14,4,13,14.3,17.5,UP,DRY,NOBH,,X,2014,zonal
