date,BH,bh,ceilmoter.signal,kidson.type,wd,ws,t,blh.12,percent.point,pm10.pn,pm2.5.pn,no2.pn,no2.qs,nox.qs,sp,dry,bh.1,hinv,oinv,year
1/05/13,0,NOBH,,HSE,SSW,3.1,18.6,550,37,28,11,34,38.9,88.6,SP1,DRY,NOBH,,X,2013
2/05/13,0,NOBH,,R,NNE,4.5,19.9,700,79,9,5,13,30.6,68.4,UP,,NOBH,,X,2013
3/05/13,0,NOBH,,R,NE,4.6,19.2,750,25,16,5,15,34.8,104.8,SP2,,NOBH,,,2013
4/05/13,0,NOBH,,TSW,NE,5,14.4,50,39,9,4,10,24.3,47.5,UP,,NOBH,,,2013
5/05/13,0,NOBH,,TSW,N,4.3,16.7,750,29,12,5,8,37.6,92,UP,,NOBH,,,2013
6/05/13,0,NOBH,,SW,N,6.2,11.9,600,23,18,7,19,44.7,130.3,UP,,NOBH,,,2013
7/05/13,0,NOBH,,H,SSE,2.3,17.8,NA,NA,22,11,37,37.3,131.6,SP1,DRY,NOBH,,,2013
8/05/13,0,NOBH,,H,E,3,14.3,250,27,13,5,22,21.4,36.8,UP,,NOBH,,,2013
9/05/13,0,NOBH,,HNW,ENE,0.7,13.5,300,27,16,11,35,43.6,152,UP,,NOBH,,,2013
10/05/13,0,NOBH,,HW,NE,5.5,15.3,750,22,14,9,33,56.7,236.8,UP,,NOBH,,,2013
11/05/13,0,NOBH,,HSE,SSE,2.9,14.4,1850,38,15,7,33,29.1,62.5,UP,DRY,NOBH,,,2013
12/05/13,0,NOBH,,R,SSW,2.8,16.2,NA,NA,11,9,28,34.8,93.1,SP1,DRY,NOBH,,X,2013
13/05/13,2,BH,2,R,WNW,2.2,16.8,350,54,28,19,40,51.3,222.8,SP1,DRY,BH,X,,2013
14/05/13,2,BH,2,TSW,WSW,2,17.1,150,46,28,15,41,52.4,238.2,SP1,DRY,BH,X,,2013
15/05/13,1,BH,2,TSW,SSW,3.2,15.5,150,81,26,14,34,33.7,92.7,SP1,DRY,BH,X,,2013
16/05/13,0,NOBH,,SW,NE,5.4,19.4,950,23,22,12,20,33.5,66,SP2,DRY,NOBH,,,2013
17/05/13,0,NOBH,,H,NE,7,16.2,400,42,10,4,7,39.7,98.8,UP,,NOBH,,,2013
18/05/13,0,NOBH,,H,W,4.4,18.7,900,17,13,4,18,49.3,146.1,UP,,NOBH,,,2013
19/05/13,0,NOBH,,HNW,WNW,6.8,17.4,50,34,14,5,11,51.4,135.5,UP,,NOBH,,,2013
20/05/13,0,NOBH,,TSW,W,1.1,18.3,450,20,22,8,28,51.8,151.5,UP,DRY,NOBH,,,2013
21/05/13,0,NOBH,,HSE,NNE,4.3,17.9,750,8,9,4,18,42.4,112.8,UP,,NOBH,,,2013
22/05/13,0,NOBH,,R,NNE,3.2,14.7,850,31,12,5,25,54.2,179.4,UP,,NOBH,,,2013
23/05/13,0,NOBH,,R,W,8,15.5,50,18,15,5,24,62.8,188,UP,,NOBH,,X,2013
24/05/13,0,NOBH,,TSW,W,1.2,16.8,950,40,22,13,34,47.5,169.7,SP2,DRY,NOBH,,,2013
25/05/13,0,NOBH,,TSW,ENE,2.9,14.9,950,32,13,6,13,36.1,115.2,SP1,,NOBH,X,,2013
26/05/13,0,NOBH,,SW,SW,6.1,17.3,1050,44,11,4,16,40.1,96.1,SP2,DRY,NOBH,,,2013
27/05/13,0,NOBH,,H,WSW,6.9,17.4,1150,55,17,7,24,54.1,165.2,SP2,DRY,NOBH,,,2013
28/05/13,0,NOBH,,H,SSE,5.1,7.2,350,33,15,5,33,46,110.4,UP,,NOBH,,,2013
29/05/13,0,NOBH,,HNW,S,2.3,13,700,25,28,16,42,45.1,145.8,UP,DRY,NOBH,,X,2013
30/05/13,0,NOBH,,H,WNW,2.6,15.1,250,32,21,12,40,51.8,204.6,UP,,NOBH,,,2013
31/05/13,0,NOBH,,HSE,W,2.4,14,1300,60,13,10,39,51.1,203.6,UP,DRY,NOBH,,X,2013
1/06/13,NA,NOBH,,W,WSW,4.6,15.6,1150,47,10,6,32,47.1,145.7,SP2,DRY,NOBH,,X,2013
2/06/13,NA,NOBH,,TSW,W,2.4,16.2,1050,70,15,15,28,42.4,139.4,SP2,DRY,NOBH,,X,2013
3/06/13,0,NOBH,,TSW,E,1.4,14.2,1350,45,19,13,24,41.3,101.7,SP2,DRY,NOBH,,X,2013
4/06/13,0,NOBH,,TSW,ENE,6.6,13.2,500,32,13,4,9,30.3,64.6,UP,,NOBH,,,2013
5/06/13,0,NOBH,,HW,SE,5.2,15,650,23,14,6,27,28.4,57.3,UP,,NOBH,,,2013
6/06/13,0,NOBH,,H,SSE,3.5,14.1,NA,NA,17,8,33,33.6,69.2,SP2,DRY,NOBH,,,2013
7/06/13,0,NOBH,,HE,WSW,0.9,13.5,650,18,19,11,39,41.2,114.1,UP,,NOBH,,,2013
8/06/13,0,NOBH,,HE,NE,6,15.9,1000,24,18,7,15,24.8,40.3,UP,DRY,NOBH,,,2013
9/06/13,0,NOBH,,HSE,NE,0.7,11.7,400,57,13,10,19,35.2,86.1,UP,,NOBH,,,2013
10/06/13,0,NOBH,1,HSE,SW,2.4,12.3,600,1,25,13,30,37.5,102.2,SP1,,NOBH,,,2013
11/06/13,0,NOBH,,W,SW,3.9,15.1,600,55,31,13,32,36.5,110.5,SP1,,NOBH,,,2013
12/06/13,0,NOBH,,TSW,SSW,5.4,15.4,600,24,25,7,27,35.2,80.9,UP,,NOBH,,,2013
13/06/13,0,NOBH,,TSW,SW,4.7,15.1,950,36,17,6,30,46.2,127.5,UP,DRY,NOBH,,X,2013
14/06/13,0,NOBH,,TSW,WSW,2.1,13.3,350,46,15,9,31,44.9,124.6,UP,,NOBH,,,2013
15/06/13,0,NOBH,,HW,NE,4.7,13.9,550,48,6,3,7,26.2,49.4,UP,DRY,NOBH,,,2013
16/06/13,0,NOBH,,H,NE,8.8,13.9,400,21,13,3,6,27.9,52.1,UP,,NOBH,,,2013
17/06/13,0,NOBH,,HE,NNW,3.6,16.8,750,32,14,6,14,44.8,131.1,UP,,NOBH,,,2013
18/06/13,0,NOBH,,HE,NNE,3.2,18.2,200,47,14,5,10,47,139.1,UP,,NOBH,,,2013
19/06/13,0,NOBH,,HSE,NNW,2.9,11.5,600,23,11,5,27,57.6,174.9,UP,,NOBH,,,2013
20/06/13,0,NOBH,,TSW,W,7.3,10,600,18,11,5,19,57.2,161.5,UP,,NOBH,,,2013
21/06/13,0,NOBH,,W,SW,7.4,12.7,1300,30,23,5,25,45.5,123.1,UP,,NOBH,,,2013
22/06/13,NA,NOBH,,TSW,SW,8.7,13.1,1200,25,11,4,18,46.2,122.3,UP,DRY,NOBH,,X,2013
23/06/13,0,NOBH,,TSW,WSW,6.9,8.7,850,25,7,5,22,40.3,95.3,UP,,NOBH,,,2013
24/06/13,0,NOBH,,TSW,W,2,12.2,600,34,20,10,34,52.6,172.2,UP,,NOBH,,,2013
25/06/13,0,NOBH,,HW,WSW,4.4,14.6,1450,18,15,6,35,52.4,132.8,SP2,DRY,NOBH,,X,2013
26/06/13,0,NOBH,,H,NNE,1.4,13.2,550,29,10,6,29,42.8,106,UP,DRY,NOBH,,X,2013
27/06/13,0,NOBH,,HE,SE,4.2,11,1000,25,11,7,32,24.6,43.5,SP2,DRY,NOBH,,X,2013
28/06/13,0,NOBH,,HE,SSE,2.3,12.3,1650,11,25,17,36,37,124.5,SP1,DRY,NOBH,,,2013
29/06/13,1?,NOBH,,HSE,WSW,1.4,11.8,NA,NA,43,27,33,42.7,164.1,SP1,DRY,NOBH,X,,2013
30/06/13,0,NOBH,,HNW,W,1.4,12.2,1250,18,17,11,24,40.8,127.4,UP,DRY,NOBH,,,2013
1/07/13,0,NOBH,,W,WSW,6.9,14.6,1300,44,18,10,36,50.8,179,UP,DRY,NOBH,,,2013
2/07/13,0,NOBH,,W,NNW,3,15.1,1400,24,13,11,29,49.8,181.9,UP,DRY,NOBH,,X,2013
3/07/13,NA,NOBH,,HNW,NE,3.4,12.8,450,15,14,6,18,44.3,93.8,UP,,NOBH,,X,2013
4/07/13,0,NOBH,,W,S,3,15.2,500,31,17,8,32,34.9,77.2,UP,,NOBH,,,2013
5/07/13,0,NOBH,,W,SW,2.1,14.7,800,57,16,10,34,44,109.3,SP1,DRY,NOBH,,X,2013
6/07/13,0,NOBH,,T,NW,4.2,16.3,1100,29,16,6,17,49.5,137.7,SP2,DRY,NOBH,,X,2013
7/07/13,0,NOBH,,HNW,W,5.7,16.4,1000,31,16,8,24,55,140.9,UP,DRY,NOBH,,,2013
8/07/13,0,NOBH,,HNW,SW,7,14.1,1550,22,19,7,29,53,128.9,UP,,NOBH,,,2013
9/07/13,0,NOBH,,H,WNW,3.5,12.2,1300,39,16,8,36,65.1,196,UP,DRY,NOBH,,,2013
10/07/13,0,NOBH,,H,WSW,6.5,11.6,1050,27,12,7,37,56.8,164,UP,,NOBH,,,2013
11/07/13,0,NOBH,,W,SE,3.8,9.4,1450,63,19,8,38,40.8,94.3,UP,,NOBH,X,,2013
12/07/13,0,NOBH,,W,NE,1.3,13,NA,NA,15,11,29,41.5,78.2,UP,,NOBH,,,2013
13/07/13,0,NOBH,,HNW,SW,2.3,13,NA,NA,12,11,31,50.4,138.5,UP,,NOBH,,,2013
14/07/13,0,NOBH,,W,SW,11.7,14.4,NA,NA,17,7,13,35.4,72.6,UP,,NOBH,,,2013
15/07/13,0,NOBH,,W,SSW,5.8,9.9,NA,NA,15,6,23,34.3,66.2,SP1,DRY,NOBH,,,2013
16/07/13,0,NOBH,,T,SSW,5,13,NA,NA,27,16,41,52.5,161.2,SP2,DRY,NOBH,,X,2013
17/07/13,0,NOBH,,HNW,SW,4.9,13.8,1250,76,24,13,37,62.1,165.7,SP2,DRY,NOBH,,X,2013
18/07/13,0,NOBH,,HNW,WSW,5.7,13.7,1300,61,13,5,36,61.9,144.6,SP2,DRY,NOBH,,X,2013
19/07/13,0,NOBH,,H,WSW,4,14.2,1500,68,16,7,39,61.3,171.5,SP2,DRY,NOBH,,X,2013
20/07/13,0,NOBH,,H,WSW,0.9,16.1,1400,26,14,10,32,55.2,157.8,SP2,DRY,NOBH,,,2013
21/07/13,0,NOBH,,W,SE,2.5,13.2,550,29,24,12,31,45.2,114.8,SP2,DRY,NOBH,,,2013
22/07/13,NA,BH,2,W,WSW,1.3,11,150,42,15,10,29,46.5,132.1,SP1,DRY,BH,,,2013
23/07/13,0,NOBH,,HNW,NNE,1.7,14.5,1050,24,16,15,27,53,181.7,SP2,DRY,NOBH,,X,2013
24/07/13,0,NOBH,,W,NNW,2.6,13,300,83,14,10,28,58.7,191,UP,,NOBH,,X,2013
25/07/13,NA,NOBH,,W,WSW,6.3,15.6,900,59,15,5,23,58.5,164.7,UP,,NOBH,,,2013
26/07/13,0,NOBH,,T,WSW,7.5,13.7,1250,60,16,6,30,55.2,132.5,SP2,DRY,NOBH,,X,2013
27/07/13,0,NOBH,,HNW,SW,4.4,15.1,1400,52,19,9,33,51.1,122.1,SP2,DRY,NOBH,,X,2013
28/07/13,0,NOBH,1,HNW,SW,3.9,15.1,900,27,20,10,29,47.5,129.2,UP,DRY,NOBH,,X,2013
29/07/13,0,NOBH,,H,SSW,3,14.9,950,73,29,14,41,54.9,153.1,SP1,DRY,NOBH,,X,2013
30/07/13,NA,BH,2,HSE,W,1.5,10.8,200,26,23,14,28,46.9,158,SP1,DRY,BH,X,,2013
31/07/13,0,NOBH,,W,ENE,5.1,15.5,1400,25,14,7,23,20.2,28.1,SP2,DRY,NOBH,,X,2013
1/08/13,0,NOBH,,HSE,ENE,5.8,14.7,1100,30,18,4,13,14.2,18.8,UP,,NOBH,,X,2013
2/08/13,0,NOBH,,R,ENE,7,15.6,600,48,9,3,NA,8.7,11,UP,,NOBH,,,2013
3/08/13,0,NOBH,,TNW,SSE,3.1,16.5,1500,37,11,5,NA,30.6,54.4,UP,,NOBH,,,2013
4/08/13,0,NOBH,,HE,WSW,1.3,14.9,1650,6,10,6,NA,41.6,89.3,UP,,NOBH,,,2013
5/08/13,0,NOBH,,HE,SW,5.5,15.8,800,32,16,7,NA,45.1,118.1,SP2,DRY,NOBH,,X,2013
6/08/13,0,NOBH,,W,W,3.9,17.9,500,16,16,7,31,49.8,154,UP,,NOBH,,,2013
7/08/13,0,NOBH,,W,NNW,2.8,17.4,900,28,11,7,25,44.1,140.1,UP,,NOBH,,,2013
8/08/13,1,NOBH,2,HE,N,2.5,17.4,200,16,12,7,22,42.9,164.4,UP,DRY,NOBH,,,2013
9/08/13,0,NOBH,,NE,ENE,5.1,17.2,1900,3,14,7,31,23.4,49.9,UP,,NOBH,,,2013
10/08/13,0,NOBH,,TSW,SSE,3,12.4,300,30,13,7,28,31.6,89.5,UP,,NOBH,,,2013
11/08/13,0,NOBH,,HSE,WSW,12.5,13.5,800,43,18,4,9,36,95.1,UP,,NOBH,,,2013
12/08/13,0,NOBH,,R,WSW,"10.,",11.9,400,44,16,5,17,56.7,149.8,UP,,NOBH,,,2013
13/08/13,0,NOBH,,TNW,W,7.1,16.8,1150,24,22,7,19,49.5,164.2,UP,DRY,NOBH,,,2013
14/08/13,0,NOBH,,HE,SW,7.6,15.3,600,24,28,7,25,55.3,177.7,UP,DRY,NOBH,,,2013
15/08/13,0,NOBH,,HE,N,0,15.9,1300,27,21,6,39,57,177.9,SP2,DRY,NOBH,,X,2013
16/08/13,0,NOBH,,W,NE,8.8,15.2,1100,42,11,5,28,42.2,110.9,UP,DRY,NOBH,,,2013
17/08/13,0,NOBH,,W,NNE,5.4,15.6,1000,27,11,4,14,36.2,91.1,UP,,NOBH,,,2013
18/08/13,0,NOBH,,HE,SW,3.8,15.7,1800,19,9,7,24,36.8,93.5,UP,,NOBH,,,2013
19/08/13,0,NOBH,,NE,WSW,1.5,13.4,550,21,18,10,33,45.2,160.3,UP,,NOBH,,,2013
20/08/13,0,NOBH,,TNW,ENE,5.3,14.9,1450,25,10,5,22,30.2,60.4,UP,,NOBH,,,2013
21/08/13,0,NOBH,,HSE,NE,7.1,12.7,450,41,9,3,7,26.5,50.8,UP,,NOBH,,,2013
22/08/13,0,NOBH,,R,WSW,0.9,17.6,800,36,16,8,36,55.5,168.7,UP,DRY,NOBH,,,2013
23/08/13,0,NOBH,,TNW,SSW,2.1,11.4,850,15,17,11,39,55.2,216.1,UP,,NOBH,,,2013
24/08/13,NA,NOBH,2,HE,NNE,3.6,15.1,200,19,10,5,15,40.1,138.3,UP,DRY,NOBH,,,2013
25/08/13,0,NOBH,,HE,NW,2.3,15.9,550,30,11,5,17,38.6,95.8,UP,,NOBH,,,2013
26/08/13,0,NOBH,2,W,W,3,14.8,400,22,15,7,28,50.7,164.8,UP,,NOBH,,X,2013
27/08/13,0,NOBH,,W,WSW,6.7,15.8,1200,25,18,8,32,55.2,176.5,UP,,NOBH,,,2013
28/08/13,1,NOBH,2,HE,WNW,3.7,16.7,850,16,15,7,30,49.1,169.6,UP,,NOBH,,,2013
29/08/13,0,NOBH,,NE,WSW,6.3,13.8,1100,27,13,6,31,57.7,177.2,UP,,NOBH,,,2013
30/08/13,0,NOBH,,HSE,SSE,4,10.3,500,22,11,6,37,37.4,102.9,UP,,NOBH,,,2013
31/08/13,0,NOBH,,HSE,ESE,4.4,14.4,1350,33,9,5,29,26.9,61.7,UP,DRY,NOBH,,,2013
1/05/14,0,NOBH,,TNW,WSW,2.2,18.2,1150,29,18,10,25,57.4,221.8,SP2,DRY,NOBH,,X,2014
2/05/14,0,NOBH,2,TNW,WSW,1.6,18.4,830,34,19,11,27,56.3,237.3,SP2,DRY,NOBH,,X,2014
3/05/14,0,NOBH,,NE,NW,2.8,20,NA,NA,19,11,24,48.9,203,UP,,NOBH,,X,2014
4/05/14,1?,NOBH,,HE,NNE,3.2,21.1,NA,NA,12,8,13,31.8,95,SP1,DRY,NOBH,,,2014
5/05/14,0,NOBH,,W,NNE,7.4,18.8,NA,NA,7,3,14,44.1,153.4,UP,,NOBH,,,2014
6/05/14,0,NOBH,,W,W,4.8,21.7,NA,NA,21,8,39,59.2,231.9,UP,DRY,NOBH,,,2014
7/05/14,0,NOBH,,T,NW,3.7,20.4,NA,NA,16,5,21,55.9,221.7,UP,,NOBH,,,2014
8/05/14,0,NOBH,,SW,N,2.4,20.4,550,35,6,4,18,51.1,173.8,UP,,NOBH,,,2014
9/05/14,0,NOBH,,SW,NNW,4.4,17.5,900,16,11,6,20,64.4,243.7,UP,,NOBH,,,2014
10/05/14,0,NOBH,,HNW,S,2.5,17,NA,NA,14,9,18,50,140.3,UP,,NOBH,,,2014
11/05/14,0,NOBH,,NA,W,0.8,19,1050,21,18,11,19,49.1,154.7,SP1?,NA,NOBH,,,2014
12/05/14,0,NOBH,,NA,N,1.5,17.9,1300,22,13,8,24,60.8,214.7,SP1?,NA,NOBH,,,2014
13/05/14,0,NOBH,,NE,NW,2.5,18.3,850,48,5,4,15,59.8,189.3,UP,,NOBH,,,2014
14/05/14,0,NOBH,,HE,WSW,6.1,15.3,50,29,8,4,19,63.8,224.7,UP,,NOBH,,,2014
15/05/14,0,NOBH,,W,SW,9,16.6,1200,21,13,6,21,61.6,186.1,UP,DRY,NOBH,,,2014
16/05/14,0,NOBH,,W,SSW,3.7,14.8,450,6,18,9,21,54.8,165.7,SP2,DRY,NOBH,,X,2014
17/05/14,0,NOBH,,T,SW,6.1,16.1,1100,32,20,11,24,60,183.2,SP2,DRY,NOBH,,X,2014
18/05/14,0,NOBH,,SW,WSW,1.4,17.6,550,22,17,12,23,45,104.8,SP2,DRY,NOBH,,X,2014
19/05/14,0,NOBH,,SW,SW,6.2,18.6,850,61,23,12,32,59.3,176.9,SP2,DRY,NOBH,,X,2014
20/05/14,0,NOBH,,W,SW,3.4,17.8,800,58,20,10,32,65.4,236.8,SP2,DRY,NOBH,,X,2014
21/05/14,0,NOBH,1,TNW,W,5.2,17.8,750,22,13,7,26,69.1,239.7,UP,,NOBH,,,2014
22/05/14,0,NOBH,,TNW,SW,6.7,16.2,1050,49,21,7,27,60,166.4,SP2,DRY,NOBH,,X,2014
23/05/14,0,NOBH,,NE,W,7.9,17.2,900,26,17,4,22,70.9,240.5,UP,,NOBH,,X,2014
24/05/14,0,NOBH,,HE,WNW,9.4,19.4,750,40,15,7,22,54.8,158.9,UP,,NOBH,,,2014
25/05/14,0,NOBH,,W,WNW,3.7,18.9,450,38,17,6,21,46.8,131.6,UP,,NOBH,,,2014
26/05/14,0,NOBH,,W,SSW,9.5,14.4,1300,13,16,6,23,55.8,120.8,SP2,DRY,NOBH,,X,2014
27/05/14,0,NOBH,,T,SSE,2.2,12.1,NA,NA,24,13,23,48.4,120.4,SP1,DRY,BH?,,,2014
28/05/14,2,BH,NA,SW,W,1.3,13.1,NA,NA,33,27,42,69.5,306.1,SP1,DRY,NOBH,X,,2014
29/05/14,0,NOBH,,SW,NW,6.2,16.2,500,30,17,9,20,61.1,217.3,UP,,NOBH,,,2014
30/05/14,0,NOBH,,HW,SW,4.7,16.6,650,68,12,5,20,55.5,151.8,UP,,NOBH,,,2014
31/05/14,0,NOBH,,TNW,SSE,2.2,14.8,1650,NA,12,7,13,43.3,112.3,UP,,NOBH,,,2014
1/06/14,0,NOBH,,H,S,2.2,14,1500,8,12,7,12,39.8,99,SP1,,NOBH,,X,2014
2/06/14,0,NOBH,,H,SSW,2.7,12.2,1250,NA,8,6,10,32,70.1,UP,,NOBH,,X,2014
3/06/14,0,NOBH,,HSE,W,2,16.7,800,28,14,10,20,44.1,119.3,UP,,NOBH,X,X,2014
4/06/14,0,NOBH,,NA,NNW,1.9,17.1,1250,16,19,12,21,37,82.9,SP1?,NA?,NOBH,,,2014
5/06/14,0,NOBH,,H,W,1.4,15.6,1650,21,17,10,19,41,91.2,UP,DRY,NOBH,,,2014
6/06/14,0,NOBH,,HSE,NW,1,15.6,750,33,15,9,17,47.6,111.1,UP,DRY,NOBH,,,2014
7/06/14,0,NOBH,,HSE,NE,4.4,18.1,1800,11,9,4,11,42.7,76.6,UP,,NOBH,,,2014
8/06/14,0,NOBH,,HSE,ENE,4.5,17.1,600,39,9,3,13,22,36,UP,DRY,NOBH,,,2014
9/06/14,0,NOBH,,HSE,NE,7.3,18,850,67,14,4,19,31.4,58,UP,,NOBH,,,2014
10/06/14,0,NOBH,,HSE,ENE,6.5,13.9,700,28,12,4,12,19.3,29.4,UP,,NOBH,,,2014
11/06/14,0,NOBH,,H,NNE,4.7,17.4,700,26,15,9,23,53,151,UP,,NOBH,,,2014
12/06/14,0,NOBH,,H,SE,3,16.5,750,54,8,5,14,41.1,90.2,UP,,NOBH,,,2014
13/06/14,0,NOBH,,HSE,SSE,3.7,15.8,1450,20,16,8,19,45.6,113.2,SP1,DRY,NOBH,,,2014
14/06/14,0,NOBH,2,HSE,WSW,3,14.2,NA,NA,23,18,22,53.9,170.4,SP1,DRY,BH,X,X,2014
15/06/14,3,BH,2,H,WSW,0.8,14.9,200,42,31,21,26,NA,NA,SP1,DRY,BH,X,,2014
16/06/14,0,NOBH,,HSE,NNE,5.7,16.4,1650,17,13,4,18,NA,NA,UP,,NOBH,,X,2014
17/06/14,0,NOBH,,HSE,WNW,8.6,17,700,33,10,5,19,67.7,223,UP,,NOBH,,,2014
18/06/14,0,NOBH,,HSE,W,6,17,1200,19,12,6,24,70.9,233.3,UP,,NOBH,,,2014
19/06/14,0,NOBH,,HSE,W,5.6,13.9,750,29,13,6,25,71.8,236,UP,,NOBH,,,2014
20/06/14,0,NOBH,,W,SW,9.2,14.7,1150,28,23,9,37,64.2,196.3,UP,DRY,NOBH,,,2014
21/06/14,0,NOBH,,H,WNW,5,15.9,1550,26,15,7,23,63.5,196.5,SP2,DRY,NOBH,,X,2014
22/06/14,0,NOBH,,H,W,2,17.4,500,38,17,8,20,48,117.9,UP,,NOBH,,,2014
23/06/14,NA,BH?,1,HSE,WSW,1.4,13.2,200,64,22,12,27,54,185.2,SP2,DRY,BH?,X,X,2014
24/06/14,NA,NOBH,,HSE,NE,7.2,17.2,800,23,9,4,14,46.3,98.3,UP,,NOBH,,,2014
25/06/14,NA,NOBH,,H,NE,10.9,16.9,250,28,11,3,19,48.6,122.8,UP,DRY,NOBH,,,2014
26/06/14,NA,NOBH,,HSE,NNW,2.3,17.5,200,48,10,4,20,60.8,198.9,UP,,NOBH,,,2014
27/06/14,NA,NOBH,,HSE,NW,4.1,14.6,800,24,13,5,21,83.5,261.5,UP,,NOBH,,,2014
28/06/14,NA,NOBH,,HSE,WSW,10.8,14.7,1200,16,24,7,26,66.9,174.8,UP,,NOBH,,,2014
29/06/14,NA,BH?,0,HSE,WNW,1.2,16,200,55,24,10,26,55.8,137.5,SP2,DRY,BH?,,X,2014
30/06/14,NA,NOBH,,T,NNE,8.1,15.4,600,40,12,4,18,50.9,124.7,UP,,NOBH,,,2014
1/07/14,NA,NOBH,,T,NNW,3.1,14,400,27,11,6,21,72.3,223.8,UP,,NOBH,,X,2014
2/07/14,NA,NOBH,,SW,W,8.9,10.9,400,18,13,5,18,65.7,204.5,UP,,NOBH,,X,2014
3/07/14,NA,NOBH,,SW,W,5.8,13.1,450,18,19,10,28,71.6,228.7,UP,,NOBH,,,2014
4/07/14,NA,NOBH,,SW,SSW,3.4,11.8,1000,16,18,9,24,63.5,183.5,UP,,NOBH,,,2014
5/07/14,NA,NOBH,,SW,WSW,11.2,16.3,1100,35,19,8,25,61.8,161.7,UP,DRY,NOBH,,X,2014
6/07/14,NA,NOBH,,HSE,NE,2,16,600,30,19,8,22,39.1,84.1,UP,,NOBH,,X,2014
7/07/14,NA,NOBH,,HSE,ENE,5.3,13.7,500,30,11,5,15,28.5,45.7,UP,,NOBH,,,2014
8/07/14,NA,NOBH,,NE,ENE,8.8,13.8,200,48,19,5,17,19.9,29.9,SP2,DRY,NOBH,,X,2014
9/07/14,NA,NOBH,,NE,ENE,8.7,13.8,200,38,NA,6,19,10.9,16,UP,,NOBH,,,2014
10/07/14,NA,NOBH,,HE,ENE,9,14.2,200,22,20,7,20,28.8,49.5,UP,,NOBH,,,2014
11/07/14,NA,NOBH,,T,NE,9.5,16,1250,43,17,5,22,37.6,60.7,UP,,NOBH,,X,2014
12/07/14,NA,NOBH,,SW,ENE,3.6,12.8,250,37,17,4,14,47.9,102.3,UP,,NOBH,,,2014
13/07/14,NA,NOBH,,SW,NNW,3,15,600,29,16,9,15,57.1,144.5,UP,DRY,NOBH,,,2014
14/07/14,NA,BH?,2,SW,SSE,1.4,9.7,100,72,22,15,21,59,206.1,SP1,DRY,BH?,X,,2014
15/07/14,NA,NOBH,,SW,SSE,3.2,13.4,NA,NA,19,10,19,45.3,131.8,UP,,NOBH,,,2014
16/07/14,NA,NOBH,,HSE,S,2.3,11.9,NA,NA,21,13,22,48.7,146,SP2,DRY,NOBH,,,2014
17/07/14,NA,NOBH,,HSE,SSE,2.7,11,NA,NA,20,10,20,53.1,164.6,UP,DRY,NOBH,,,2014
18/07/14,NA,NOBH,,NE,S,2.2,10.4,550,41,24,19,25,58.9,202.5,SP1,DRY,NOBH,,X,2014
19/07/14,0,NOBH,,NE,SE,0.8,9.7,1500,31,24,15,15,20.8,64.9,SP1,,NOBH,,X,2014
20/07/14,0,NOBH,,TSW,S,3.3,13.5,1300,25,8,3,9,26.8,56.9,UP,,NOBH,,,2014
