Station	Date(NZST)	Height(m)	Pressure(hPa)	Tair(C)	Tdew(C)	Dir(degT)	Speed(m/s)	StdFlag	RsdFlag	WndFlag	IceFlag	TurFlag	Orig
1410	20130101:1200	926	916	-	-	270	5.1	N	-	1	-	H	U
1410	20130101:1200	1065	901	8.6	6.6	-	-	N	1	-	-	-	U
1410	20130101:1200	1214	885	9.8	-15.2	-	-	N	1	-	-	-	U
1410	20130101:1200	1526	852	-	-	265	11.8	N	-	1	-	H	U
1410	20130101:1200	1548	850	9	-18	265	11.8	Y	0	0	0	P	U
1410	20130101:1200	1775	827	9.6	-22.4	-	-	N	1	-	-	-	U
1410	20130101:1200	2126	792	-	-	280	9.3	N	-	1	-	H	U
1410	20130101:1200	2426	764	-	-	260	9.8	N	-	1	-	H	U
1410	20130101:1200	2726	736	-	-	280	11.3	N	-	1	-	H	U
1410	20130101:1200	2992	713	3.6	-14.4	-	-	N	1	-	-	-	U
1410	20130101:1200	3026	710	-	-	260	11.3	N	-	1	-	H	U
1410	20130101:1200	3141	700	3	-19	260	11.8	Y	0	0	0	P	U
1410	20130101:1200	3507	669	1.8	-35.2	-	-	N	1	-	-	-	U
1410	20130101:1200	3626	659	-	-	265	10.3	N	-	1	-	H	U
1410	20130101:1200	4180	615	-2.7	-14.7	-	-	N	1	-	-	-	U
1410	20130101:1200	4226	611	-	-	255	11.3	N	-	1	-	H	U
1410	20130101:1200	4615	582	-5.5	-25.5	-	-	N	1	-	-	-	U
1410	20130101:1200	4764	571	-6.5	-16.5	-	-	N	1	-	-	-	U
1410	20130101:1200	4826	566	-	-	250	17	N	-	1	-	H	U
1410	20130101:1200	5426	524	-	-	255	22.1	N	-	1	-	H	U
1410	20130101:1200	5791	500	-12.5	-24.5	250	19.6	Y	0	0	0	P	U
1410	20130101:1200	5976	488	-13.5	-27.5	-	-	N	1	-	-	-	U
1410	20130101:1200	6926	430	-	-	250	21.1	N	-	1	-	H	U
1410	20130101:1200	7226	413	-	-	245	21.1	N	-	1	-	H	U
1410	20130101:1200	7458	400	-24.3	-43.3	240	21.6	Y	0	0	0	P	U
1410	20130101:1200	7754	384	-26.3	-45.3	-	-	N	1	-	-	-	U
1410	20130101:1200	7826	380	-	-	230	23.2	N	-	1	-	H	U
1410	20130101:1200	9026	320	-	-	250	22.6	N	-	1	-	H	U
1410	20130101:1200	9483	300	-41.9	-55.9	245	26.8	Y	0	0	0	P	U
1410	20130101:1200	9970	279	-45.9	-62.9	-	-	N	1	-	-	-	U
1410	20130101:1200	10526	256	-	-	235	26.8	N	-	1	-	H	U
1410	20130101:1200	10562	255	-51.3	-63.3	-	-	N	1	-	-	-	U
1410	20130101:1200	10691	250	-51.9	-63.9	235	27.8	Y	0	0	0	P	U
1410	20130101:1200	10826	245	-	-	235	27.8	N	-	1	-	H	U
1410	20130101:1200	11225	230	-56.9	-65.9	-	-	N	1	-	-	-	U
1410	20130101:1200	11827	209	-60.1	-70.1	-	-	N	1	-	-	-	U
1410	20130101:1200	12026	202	-	-	255	35	N	-	1	-	H	U
1410	20130101:1200	12101	200	-60.9	-	255	36	Y	0	0	0	P	U
1410	20130101:1200	13226	167	-	-	250	41.7	N	-	1	-	H	U
1410	20130101:1200	13322	164	-65.3	-	250	41.7	N	3	2	-	P	U
1410	20130101:1200	13749	153	-61.7	-	-	-	N	1	-	-	-	U
1410	20130101:1200	13871	150	-62.5	-	250	41.7	Y	0	0	0	P	U
1410	20130101:1200	14726	131	-	-	250	28.8	N	-	1	-	H	U
1410	20130101:1200	15326	118	-	-	260	26.3	N	-	1	-	H	U
1410	20130101:1200	15626	113	-	-	255	28.3	N	-	1	-	H	U
1410	20130101:1200	15926	107	-	-	250	23.7	N	-	1	-	H	U
1410	20130101:1200	16226	102	-	-	240	21.1	N	-	1	-	H	U
1410	20130101:1200	16370	100	-63.1	-	250	17	Y	1	0	0	P	U
1410	20130101:1200	16526	97.5	-	-	250	17	N	-	1	-	H	U
1410	20130101:1200	16826	92.8	-	-	265	14.4	N	-	1	-	H	U
1410	20130101:1200	16881	92	-64.7	-	-	-	N	1	-	-	-	U
1410	20130101:1200	17426	84.2	-	-	255	14.4	N	-	1	-	H	U
1410	20130101:1200	17514	83	-61.7	-	-	-	N	1	-	-	-	U
1410	20130101:1200	17726	80.2	-	-	335	5.7	N	-	1	-	H	U
1410	20130101:1200	18026	76.4	-	-	310	10.3	N	-	1	-	H	U
1410	20130101:1200	18326	72.8	-	-	310	14.4	N	-	1	-	H	U
1410	20130101:1200	18564	70	-63.9	-	310	10.8	Y	0	0	0	P	U
1410	20130101:1200	18626	69.3	-	-	315	12.4	N	-	1	-	H	U
1410	20130101:1200	18652	69	-64.7	-	-	-	N	1	-	-	-	U
1410	20130101:1200	18926	66	-	-	285	11.8	N	-	1	-	H	U
1410	20130101:1200	19226	62.9	-	-	305	7.7	N	-	1	-	H	U
1410	20130101:1200	19526	59.9	-	-	305	9.3	N	-	1	-	H	U
1410	20130101:1200	19826	57.1	-	-	320	8.2	N	-	1	-	H	U
1410	20130101:1200	19835	57	-58.9	-88.9	-	-	N	1	-	-	-	U
1410	20130101:1200	20126	54.4	-	-	300	10.8	N	-	1	-	H	U
1410	20130101:1200	20415	52	-56.3	-87.3	-	-	N	1	-	-	-	U
1410	20130101:1200	20426	51.9	-	-	280	5.1	N	-	1	-	H	U
1410	20130101:1200	20664	50	-56.7	-88.7	345	1	Y	0	0	0	P	U
1410	20130101:1200	20726	49.5	-	-	345	1	N	-	1	-	H	U
1410	20130101:1200	21026	47.2	-	-	45	5.1	N	-	1	-	H	U
1410	20130101:1200	21326	45	-	-	10	6.2	N	-	1	-	H	U
1410	20130101:1200	21626	42.9	-	-	30	7.2	N	-	1	-	H	U
1410	20130101:1200	21767	42	-57.7	-87.7	-	-	N	1	-	-	-	U
1410	20130101:1200	21926	41	-	-	10	6.2	N	-	1	-	H	U
1410	20130101:1200	22226	39.1	-	-	355	7.7	N	-	1	-	H	U
1410	20130101:1200	22526	37.3	-	-	75	5.1	N	-	1	-	H	U
1410	20130101:1200	22576	37	-52.9	-85.9	-	-	N	1	-	-	-	U
1410	20130101:1200	22826	35.6	-	-	100	10.3	N	-	1	-	H	U
1410	20130101:1200	22934	35	-53.7	-85.7	-	-	N	1	-	-	-	U
1410	20130101:1200	23426	32.4	-	-	70	7.2	N	-	1	-	H	U
1410	20130101:1200	23726	31	-	-	105	8.2	N	-	1	-	H	U
1410	20130101:1200	23929	30	-52.1	-85.1	100	10.3	Y	0	0	0	P	U
1410	20130101:1200	24326	28.2	-	-	85	5.7	N	-	1	-	H	U
1410	20130101:1200	26577	20	-48.5	-82.5	65	16	Y	0	0	0	P	U
1410	20130101:1200	27271	18	-47.9	-82.9	-	-	N	1	-	-	-	U
1410	20130101:1200	28945	14	-43.7	-79.7	-	-	N	1	-	-	-	U
1410	20130102:0000	26	1017	14.8	12.3	325	1	Y	4	4	-	H	U
1410	20130102:0000	119	1006	16.8	11.8	-	-	N	1	-	-	-	U
1410	20130102:0000	170	1000	16.4	11.4	-	-	Y	0	-	1	-	U
1410	20130102:0000	326	982	-	-	280	2.6	N	-	1	-	H	U
1410	20130102:0000	626	948	-	-	270	3.1	N	-	1	-	H	U
1410	20130102:0000	720	937	11.6	10.1	-	-	N	1	-	-	-	U
1410	20130102:0000	828	925	12.8	-5.2	-	-	Y	0	-	0	-	U
1410	20130102:0000	874	920	13.2	-14.8	-	-	N	1	-	-	-	U
1410	20130102:0000	929	914	13.2	-13.8	305	5.7	N	1	1	-	H	U
1410	20130102:0000	1226	882	-	-	315	8.8	N	-	1	-	H	U
1410	20130102:0000	1303	874	10	8.7	-	-	N	1	-	-	-	U
1410	20130102:0000	1516	852	11.6	-29.4	-	-	N	1	-	-	-	U
1410	20130102:0000	1526	851	-	-	275	5.7	N	-	1	-	H	U
1410	20130102:0000	1536	850	11.6	-29.4	285	5.7	Y	0	0	0	P	U
1410	20130102:0000	1795	824	11.2	-19.8	-	-	N	1	-	-	-	U
1410	20130102:0000	2126	792	-	-	280	7.2	N	-	1	-	H	U
1410	20130102:0000	2426	764	-	-	295	8.2	N	-	1	-	H	U
1410	20130102:0000	2726	736	-	-	290	10.3	N	-	1	-	H	U
1410	20130102:0000	2924	719	7.8	-35.2	-	-	N	1	-	-	-	U
1410	20130102:0000	3026	710	-	-	280	9.8	N	-	1	-	H	U
1410	20130102:0000	3144	700	6.4	-28.6	280	10.8	Y	0	0	0	P	U
1410	20130102:0000	4140	619	0	-44	-	-	N	1	-	-	-	U
1410	20130102:0000	4226	612	-	-	280	14.4	N	-	1	-	H	U
1410	20130102:0000	4949	559	-4.5	-28.5	-	-	N	1	-	-	-	U
1410	20130102:0000	5726	506	-	-	270	18.5	N	-	1	-	H	U
1410	20130102:0000	5815	500	-12.1	-26.1	270	18	Y	0	0	0	P	U
1410	20130102:0000	6047	485	-14.3	-29.3	-	-	N	1	-	-	-	U
1410	20130102:0000	6333	467	-15.3	-42.3	-	-	N	1	-	-	-	U
1410	20130102:0000	7226	414	-	-	285	14.9	N	-	1	-	H	U
1410	20130102:0000	7303	410	-22.5	-36.5	-	-	N	1	-	-	-	U
1410	20130102:0000	7484	400	-23.9	-38.9	285	14.9	Y	0	0	0	P	U
1410	20130102:0000	8426	351	-	-	290	12.4	N	-	1	-	H	U
1410	20130102:0000	8548	345	-31.7	-56.7	-	-	N	1	-	-	-	U
1410	20130102:0000	9026	322	-	-	290	12.9	N	-	1	-	H	U
1410	20130102:0000	9520	300	-39.9	-57.9	290	13.9	Y	0	0	0	P	U
1410	20130102:0000	10526	258	-	-	275	17.5	N	-	1	-	H	U
1410	20130102:0000	10607	255	-49.7	-57.7	-	-	N	1	-	-	-	U
1410	20130102:0000	10736	250	-50.5	-60.5	275	18	Y	0	0	0	P	U
1410	20130102:0000	11275	230	-54.5	-65.5	-	-	N	1	-	-	-	U
1410	20130102:0000	11426	225	-	-	270	18	N	-	1	-	H	U
1410	20130102:0000	12096	202	-59.9	-65.9	-	-	N	1	-	-	-	U
1410	20130102:0000	12158	200	-59.9	-65.9	265	25.7	Y	0	0	0	P	U
1410	20130102:0000	13130	171	-62.7	-	-	-	N	1	-	-	-	U
1410	20130102:0000	13811	153	-65.9	-	-	-	N	3	-	-	-	U
1410	20130102:0000	13931	150	-65.5	-	260	38.6	Y	0	0	0	P	U
1410	20130102:0000	14426	138	-	-	255	43.2	N	-	1	-	H	U
1410	20130102:0000	14531	136	-	-	255	43.2	N	-	2	-	P	U
1410	20130102:0000	15246	121	-63.1	-	-	-	N	1	-	-	-	U
