date,Kidson,Temp.original,found.correctly,updated.values,temp.updated,temp.final,siggi.original,found.correctly,updated.value,siggi.updated,siggi.final,wd,ws,tair,
6/12/12 12:00,NE,NA,0,NA,NA,NA,267,1,NA,267,NA,46,5,19,
7/12/12 12:00,NE,NA,0,NA,NA,NA,1110,0,NA,1110,NA,274,11,16,
8/12/12 12:00,NE,NA,0,NA,NA,NA,1368,0,NA,1368,NA,218,6,19,
9/12/12 12:00,TSW,1457,1,NA,1457,1457,888,"""UPDATE""",1200,1200,1200,212,5,20,
10/12/12 12:00,TSW,1021,1,NA,1021,1021,1106,1,NA,1106,1106,218,5,20,
11/12/12 12:00,TSW,1073,1,NA,1073,1073,857,1,NA,857,857,213,6,18,
12/12/12 12:00,NE,1500,0,NA,1500,NA,1301,0,NA,1301,NA,46,6,22,
13/12/12 12:00,NE,843,0,NA,843,NA,394,0,NA,394,NA,32,4,22,
14/12/12 12:00,NE,1439,1,NA,1439,1439,979,0,NA,979,NA,36,4,21,
15/12/12 12:00,NE,820,1,NA,820,820,1198,1,NA,1198,1198,227,4,23,
16/12/12 12:00,NE,840,1,NA,840,840,1037,0,NA,1037,NA,50,6,22,
17/12/12 12:00,NE,1551,0,NA,1551,NA,326,1,NA,326,326,33,7,21,
18/12/12 12:00,NE,NA,0,NA,NA,NA,482,1,NA,482,482,18,7,23,
19/12/12 12:00,TSW,769,1,NA,769,769,818,1,NA,818,818,231,8,23,
20/12/12 12:00,,NA,0,NA,NA,NA,716,1,NA,716,716,36,5,24,
21/12/12 12:00,,NA,0,NA,NA,NA,570,1,NA,570,570,20,6,23,
22/12/12 12:00,NE,1632,0,NA,1632,NA,1042,0,NA,1042,NA,279,2,24,
23/12/12 12:00,NE,NA,0,NA,NA,NA,1159,1,NA,1159,1159,125,6,23,
24/12/12 12:00,NE,NA,0,NA,NA,NA,482,1,NA,482,482,81,5,25,
25/12/12 12:00,NE,NA,0,NA,NA,NA,360,1,NA,360,360,51,9,21,
26/12/12 12:00,NE,NA,0,NA,NA,NA,555,1,NA,555,555,3,5,21,
27/12/12 12:00,NE,1608,0,NA,1608,NA,463,1,NA,463,463,234,5,21,
28/12/12 12:00,NE,NA,0,NA,NA,NA,409,1,NA,409,409,32,5,22,
29/12/12 12:00,TSW,1463,0,NA,1463,NA,1384,0,NA,1384,NA,245,3,25,
30/12/12 12:00,SW,NA,UPDATE,750,750,750,847,1,NA,847,847,345,4,24,
31/12/12 12:00,TSW,NA,0,NA,NA,NA,233,0,NA,233,NA,230,10,20,
1/01/13 12:00,T,1065,1,NA,1065,1065,906,0,NA,906,NA,232,6,22,
2/01/13 12:00,T,1336,1,NA,1336,1336,1490,1,NA,1490,1490,285,5,24,
3/01/13 12:00,TSW,1590,0,NA,1590,NA,1690,0,NA,1690,NA,236,4,17,
