'date','station','tair','twet','rh','tdew'
'2012-03-12 12:00:00',22719,17.8,'''"15.5"''','''"77"''','''"13.7"'''
'2012-03-13 12:00:00',22719,20.1,'''"16.1"''','''"64"''','''"13.1"'''
'2012-03-14 12:00:00',22719,20.6,'''"16"''','''"60"''','''"12.6"'''
'2012-03-15 12:00:00',22719,21,'''"16"''','''"57"''','''"12.2"'''
'2012-03-16 12:00:00',22719,20,'''"14.9"''','''"55"''','''"10.7"'''
'2012-03-17 12:00:00',22719,20.8,'''"16.3"''','''"61"''','''"13"'''
'2012-03-18 12:00:00',22719,20.1,'''"17.7"''','''"78"''','''"16.1"'''
'2012-03-19 12:00:00',22719,15.7,'''"14.5"''','''"87"''','''"13.6"'''
'2012-03-20 12:00:00',22719,22.3,'''"18.5"''','''"68"''','''"16.1"'''
'2012-03-21 12:00:00',22719,20.9,'''"18.1"''','''"75"''','''"16.3"'''
'2012-03-22 12:00:00',22719,21.8,'''"18.7"''','''"73"''','''"16.8"'''
'2012-03-23 12:00:00',22719,21.1,'''"17.9"''','''"72"''','''"15.9"'''
'2012-03-24 12:00:00',22719,21.6,'''"18.9"''','''"76"''','''"17.2"'''
'2012-03-25 12:00:00',22719,19.8,'''"16.2"''','''"67"''','''"13.5"'''
'2012-03-26 12:00:00',22719,18.4,'''"13.3"''','''"53"''','''"8.7"'''
'2012-03-27 12:00:00',22719,20.4,'''"16.8"''','''"68"''','''"14.3"'''
'2012-03-28 12:00:00',22719,19.7,'''"16"''','''"66"''','''"13.2"'''
'2012-03-29 12:00:00',22719,20.8,'''"15.2"''','''"52"''','''"10.6"'''
'2012-03-30 12:00:00',22719,18.8,'''"15.7"''','''"71"''','''"13.4"'''
'2012-03-31 12:00:00',22719,21.9,'''"16.4"''','''"54"''','''"12.2"'''
'2012-04-01 12:00:00',22719,21.2,'''"16.7"''','''"61"''','''"13.4"'''
'2012-04-02 12:00:00',22719,20.2,'''"17.1"''','''"72"''','''"15"'''
'2012-04-03 12:00:00',22719,21.9,'''"16.8"''','''"57"''','''"13"'''
'2012-04-04 12:00:00',22719,24.5,'''"17.7"''','''"48"''','''"12.8"'''
'2012-04-05 12:00:00',22719,23.5,'''"17.6"''','''"53"''','''"13.4"'''
'2012-04-06 12:00:00',22719,21.8,'''"15.2"''','''"46"''','''"9.7"'''
'2012-04-07 12:00:00',22719,20.9,'''"14.9"''','''"49"''','''"9.8"'''
'2012-04-08 12:00:00',22719,19.4,'''"15.1"''','''"61"''','''"11.7"'''
'2012-04-09 12:00:00',22719,19.6,'''"15.4"''','''"62"''','''"12.1"'''
'2012-04-10 12:00:00',22719,20.3,'''"17"''','''"70"''','''"14.7"'''
'2012-04-11 12:00:00',22719,19.1,'''"15.6"''','''"67"''','''"12.8"'''
'2012-04-12 12:00:00',22719,20.1,'''"17.7"''','''"78"''','''"16.1"'''
'2012-04-13 12:00:00',22719,18.6,'''"16"''','''"75"''','''"14.1"'''
'2012-04-14 12:00:00',22719,19.5,'''"16.6"''','''"73"''','''"14.5"'''
'2012-04-15 12:00:00',22719,18.8,'''"16.1"''','''"74"''','''"14.1"'''
'2012-04-16 12:00:00',22719,21.2,'''"17.5"''','''"68"''','''"15.1"'''
'2012-04-17 12:00:00',22719,18.4,'''"15.3"''','''"70"''','''"12.9"'''
'2012-04-18 12:00:00',22719,20.1,'''"15.2"''','''"57"''','''"11.3"'''
